Italian,English
tutti,everyone
niente,Nothing
grazie,Thank you
lui,he
prima,Before
allora,At that time
siamo,we are
qualcosa,something
vero,True
casa,home
vita,life
tempo,time
andare,go
certo,Certain
uomo,man
signore,Gentleman
credo,I believe
voi,you
già,Already
adesso,Now
andiamo,let's go
anni,years
all',at
visto,view
fuori,out
proprio,own
parte,part
davvero,Really
vuole,wants
quanto,How much
volta,time
via,Street
dio,God
dopo,After
senza,without
cose,things
nessuno,Nobody
fai,you do
giorno,day
ed,and
meglio,Better
padre,father
puoi,you can
ciao,HI
lavoro,Work
sa,know
ai,to the
vedere,see
ogni,Everything is fine
troppo,too
posto,place
cui,which
tanto,much
male,bad
dai,come on
ce,there is
bisogno,need
signor,Mr
beh,Well
perchè,Why
vieni,You come
tra,Between
vai,Go
ehi,Hey
miei,my
amico,Friend
dice,He says
sarebbe,would be
avete,you have
altra,other
deve,needs to
sulla,on the
qualche,some
sembra,it seems
gente,people
dobbiamo,we have to
modo,way
tre,Three
momento,moment
prego,Please
parlare,speak
mamma,mom
guarda,Look
signora,Lady
grande,great
lì,there
madre,mother
possiamo,we can
avanti,after you
avere,have
successo,success
ero,I was
donna,woman
nuovo,new
ah,Ah
faccio,I do
aveva,I had
nostro,our
degli,of the
questi,these
siete,you are
forza,Force
piace,pleases
bella,Pretty
dov',where to
soldi,money
avevo,I had
favore,favor
fosse,is
altri,others
dispiace,sorry
subito,right away
dentro,inside
oggi,Today
accordo,agreement
tutta,all
faccia,face
nome,first name
ok,ok
notte,Night
queste,these
figlio,son
mondo,world
nostra,our
sapere,know
vado,I go
tutte,all
aspetta,Wait
amare,love
moglie,wife
sicuro,Safe
suoi,his
penso,I think
paura,fear
idea,idea
testa,head
papà,Pope
giusto,Right
eh,eh
vorrei,I would like
senti,feel
presto,Soon
uomini,men
ll,ll
basta,Enough
potrebbe,could be
stesso,same
avuto,had
porta,brings
erano,they were
stare,to stay
buona,Good
quindi,Therefore
farlo,to do it
appena,as soon as
abbia,have
ragione,reason
sentito,sense
ragazzi,Boys
domani,Tomorrow
ragazza,lass
ragazzo,lad
insieme,Together
sotto,under
volevo,I wanted
pronto,ready
nei,in the
ciò,that is
volte,times
capito,Understood
succede,happens
preso,taken 
facendo,doing
piacere,Pleasure
morto,died
tuoi,your
capitano,captain
letto,Bed
storia,history
caso,case
trovato,found
amici,friends
venire,come
dico,I say
capisco,I understand
problema,problem
fino,until
tipo,guy
là,there
qua,here
pensi,think
aver,have
giorni,days
cazzo,fuck
okay,okay
nulla,Nothing
bello,Handsome
persone,people
buon,Good
terra,Earth
ia,ia
dato,given
secondo,second
film,movie
nell',in the'
mano,hand
facciamo,we do
vediamo,We see
vedo,I see
stanno,they are
avrei,I would have
prendere,take
dici,you say
serve,serve
morte,death
meno,less
città,city
occhi,eyes
fine,end
Sig.,Mr
tesoro,treasure
scusi,Excuse me
primo,first
credi,believe
salve,Greetings
nave,ship
stiamo,we are
sera,evening
piano,floor
sento,I feel
macchina,machine
vostro,your
mani,hands
neanche,not even
dall',from
dottore,doctor
quale,Which
abbastanza,Enough
tardi,late
bel,nice
cuore,Heart
famiglia,family
far,do
stati,States
aiuto,help
diavolo,devil
nostri,our
col,with the
quasi,Almost
polizia,police
capo,boss
avrebbe,it would have
quei,those
mie,my
tornare,return
però,However
contro,against
viene,he comes
mentre,While
scusa,Excuse me
sola,lonely
spero,I hope
quelle,those
trovare,find
giro,tour
anch',too
guerra,war
sue,his
bambino,child
strada,street
vecchio,old
fratello,Brother
acqua,waterfall
stasera,this evening
pensavo,I thought
chiama,who loves
persona,person
vedi,you see
fu,was
anno,year
vostra,your
veramente,Truly
finito,finished
marito,Husband
minuti,minutes
giù,below
donne,women
bravo,good boy
bambini,children
ricordi,memories
quelli,those
state,state
ore,hours
stavo,I was
dovuto,due
nemmeno,neither
venuto,coming
indietro,backwards
stessa,same
importa,it matters
nessun,no
punto,point
invece,Instead
perso,lost
possibile,possible
ucciso,killed
forte,strong
pensato,thought
dovrebbe,should
pensa,thinks
poco,little
parla,speaks
farò,lighthouse
cercando,looking for
l,L
verità,truth
andato,left
quell',that'
re,king
fanno,they do
potrei,I could
importante,important
quest',this
amo,I love
chiesto,asked
cosi,Like this
nelle,in
felice,happy
piedi,feet
merda,shit
piccolo,small
prendi,you take
dietro,behind
sapevo,I knew
buongiorno,Good morning
passato,past
dollari,dollars
com',as
pure,mashed potato
pensare,think
cinque,five
vicino,Neighbor
uscire,go out
conosco,I know
verso,towards
altre,other
quattro,four
morire,die
sangue,blood
John,John
eri,you was
almeno,at least
dica,say
lascia,leaves
vivere,live
colpa,guilt
portato,carried
entrare,enter
ricordo,I remember
pace,peace
roba,stuff
Jack,Jack
